Country,Year,infant_deaths
Lao People's Democratic Republic,2015,8
Lao People's Democratic Republic,2000,14
Latvia,2015,0
Latvia,2000,0
Lebanon,2015,1
Lebanon,2000,1
Lesotho,2015,4
Lesotho,2000,5
Liberia,2015,8
Liberia,2000,14
Libya,2015,1
Libya,2000,3
Lithuania,2015,0
Lithuania,2000,0
Luxembourg,2015,0
Luxembourg,2000,0
Madagascar,2015,28
Madagascar,2000,44
Malawi,2015,26
Malawi,2000,51
Malaysia,2015,4
Malaysia,2000,4
Maldives,2015,0
Maldives,2000,0
Mali,2015,52
Mali,2000,60
Malta,2015,0
Malta,2000,0
Mauritania,2015,8
Mauritania,2000,7
Mauritius,2015,0
Mauritius,2000,0
Mexico,2015,30
Mexico,2000,55
Micronesia (Federated States of),2015,0
Micronesia (Federated States of),2000,0
Mongolia,2015,1
Mongolia,2000,2
Montenegro,2015,0
Montenegro,2000,0
Morocco,2015,17
Morocco,2000,27
Mozambique,2015,60
Mozambique,2000,93
Myanmar,2015,39
Myanmar,2000,73
Namibia,2015,2
Namibia,2000,3
Nepal,2015,17
Nepal,2000,46
Netherlands,2015,1
Netherlands,2000,1
New Zealand,2015,0
New Zealand,2000,0
Nicaragua,2015,2
Nicaragua,2000,4
Niger,2015,49
Niger,2000,58
Nigeria,2015,483
Nigeria,2000,576
Norway,2015,0
Norway,2000,0
Oman,2015,1
Oman,2000,1
Pakistan,2015,352
Pakistan,2000,385
Panama,2015,1
Panama,2000,2
Papua New Guinea,2015,10
Papua New Guinea,2000,11
Paraguay,2015,2
Paraguay,2000,4
Peru,2015,8
Peru,2000,18
Philippines,2015,52
Philippines,2000,69
Poland,2015,2
Poland,2000,3
Portugal,2015,0
Portugal,2000,1
Qatar,2015,0
Qatar,2000,0
Republic of Korea,2015,1
Republic of Korea,2000,4
Republic of Moldova,2015,1
Republic of Moldova,2000,1
Romania,2015,2
Romania,2000,4
Russian Federation,2015,13
Russian Federation,2000,22
Rwanda,2015,11
Rwanda,2000,34
Saint Lucia,2015,0
Saint Lucia,2000,0
Saint Vincent and the Grenadines,2015,0
Saint Vincent and the Grenadines,2000,0
Samoa,2015,0
Samoa,2000,0
Sao Tome and Principe,2015,0
Sao Tome and Principe,2000,0
Saudi Arabia,2015,7
Saudi Arabia,2000,10
Senegal,2015,19
Senegal,2000,27
Serbia,2015,1
Serbia,2000,1
Seychelles,2015,0
Seychelles,2000,0
Sierra Leone,2015,22
Sierra Leone,2000,29
Singapore,2015,0
Singapore,2000,0
Slovakia,2015,0
Slovakia,2000,0
Slovenia,2015,0
Slovenia,2000,0
Solomon Islands,2015,0
Solomon Islands,2000,0
Somalia,2015,50
Somalia,2000,45
South Africa,2015,42
South Africa,2000,51
South Sudan,2015,26
South Sudan,2000,31
Spain,2015,1
Spain,2000,2
Sri Lanka,2015,3
Sri Lanka,2000,5
Sudan,2015,58
Sudan,2000,71
Suriname,2015,0
Suriname,2000,0
Swaziland,2015,2
Swaziland,2000,3
Sweden,2015,0
Sweden,2000,0
Switzerland,2015,0
Switzerland,2000,0
Syrian Arab Republic,2015,6
Syrian Arab Republic,2000,10
Tajikistan,2015,10
Tajikistan,2000,14
Thailand,2015,8
Thailand,2000,18
The former Yugoslav republic of Macedonia,2015,0
The former Yugoslav republic of Macedonia,2000,0
Timor-Leste,2015,2
Timor-Leste,2000,3
Togo,2015,13
Togo,2000,14
Tonga,2015,0
Tonga,2000,0
Trinidad and Tobago,2015,0
Trinidad and Tobago,2000,0
Tunisia,2015,3
Tunisia,2000,4
Turkey,2015,15
Turkey,2000,44
Turkmenistan,2015,6
Turkmenistan,2000,7
Uganda,2015,66
Uganda,2000,116
Ukraine,2015,4
Ukraine,2000,6
United Arab Emirates,2015,1
United Arab Emirates,2000,1
United Kingdom of Great Britain and Northern Ireland,2015,3
United Kingdom of Great Britain and Northern Ireland,2000,4
United Republic of Tanzania,2015,85
United Republic of Tanzania,2000,114
United States of America,2015,23
United States of America,2000,28
Uruguay,2015,0
Uruguay,2000,1
Uzbekistan,2015,15
Uzbekistan,2000,30
Vanuatu,2015,0
Vanuatu,2000,0
Venezuela (Bolivarian Republic of),2015,9
Venezuela (Bolivarian Republic of),2000,11
Viet Nam,2015,28
Viet Nam,2000,33
Yemen,2015,37
Yemen,2000,48
Zambia,2015,27
Zambia,2000,44
Zimbabwe,2015,22
Zimbabwe,2000,24
